iter	Logloss	F1
0	0.6697521076	0.5392545599
1	0.6471399362	0.5392545599
2	0.6288857784	0.537510305
3	0.609735112	0.5203389831
4	0.5932657366	0.5448559671
5	0.5761170536	0.5384615385
6	0.5621623905	0.5397350993
7	0.5484379239	0.535
8	0.5347036892	0.5277310924
9	0.5238925725	0.5351170569
10	0.5108236643	0.5436408978
11	0.4995172203	0.5425709516
12	0.4884598317	0.5448504983
13	0.4802125967	0.5465116279
14	0.471064785	0.5460580913
15	0.4649796442	0.53736356
16	0.4573473398	0.5344537815
17	0.4507209638	0.5409015025
18	0.4444482899	0.5412156536
19	0.4390584052	0.5477178423
20	0.4337077699	0.5492142266
21	0.4284165271	0.5496688742
22	0.4234004741	0.5501242751
23	0.4190003034	0.5484672742
24	0.4146308781	0.5477178423
25	0.4101384346	0.5484672742
26	0.4056740544	0.5505804312
27	0.401907769	0.5514950166
28	0.3987611383	0.5519534497
29	0.3953300503	0.5562913907
30	0.3922192205	0.5601317957
31	0.3899542364	0.5584843493
32	0.3868731653	0.5572959604
33	0.3856993153	0.5577557756
34	0.382255341	0.5577557756
35	0.3797926834	0.5565648225
36	0.3774807488	0.5553719008
37	0.3749433595	0.5549132948
38	0.3733026889	0.5565648225
39	0.3712826198	0.5565648225
40	0.3691268354	0.5570247934
41	0.3673196378	0.5565648225
42	0.3653843381	0.5570247934
43	0.3634942172	0.5558312655
44	0.3617106494	0.5582163501
45	0.3601797804	0.5598678778
46	0.358892905	0.5577557756
47	0.3577196402	0.5601317957
48	0.3560811977	0.5605935697
49	0.3554666546	0.5617792422
50	0.3544724881	0.562962963
51	0.353574862	0.5660377358
52	0.3523869285	0.5648604269
53	0.3515375428	0.5665024631
54	0.3503153965	0.5653245686
55	0.348941698	0.57002457
56	0.3480136714	0.5679214403
57	0.346974067	0.5711947627
58	0.3456901707	0.5714285714
59	0.3448168456	0.5751633987
60	0.3435527776	0.5804878049
61	0.3425372266	0.585089141
62	0.341403622	0.5855636659
63	0.3407486303	0.5867098865
64	0.3400586754	0.587854251
65	0.3391772228	0.5855636659
66	0.3383438955	0.5841423948
67	0.3375479811	0.5852869846
68	0.3366336469	0.5859564165
69	0.3360181207	0.5870967742
70	0.3348503418	0.5875706215
71	0.3343264773	0.5875706215
72	0.3340142099	0.5864297254
73	0.3337530424	0.5852869846
74	0.3334016743	0.5864297254
75	0.3329651386	0.5852869846
76	0.3323031852	0.5859564165
77	0.3317556837	0.5859564165
78	0.3308658939	0.5848142165
79	0.3300649777	0.5866236906
80	0.3297596298	0.5870967742
81	0.3291224996	0.5888978278
82	0.328636876	0.5895582329
83	0.3282410492	0.5895582329
84	0.3279040723	0.5906902087
85	0.3272463996	0.5906902087
86	0.3269031448	0.5906902087
87	0.3264912281	0.5934242181
88	0.3261010246	0.5918203689
89	0.3258263039	0.5918203689
90	0.325262244	0.5922953451
91	0.3248231608	0.5922953451
92	0.3241538943	0.5956765412
93	0.3235739844	0.5952
94	0.3231775976	0.5963229416
95	0.3227472432	0.5974440895
96	0.3220986328	0.5990415335
97	0.3213843105	0.5996810207
98	0.3209634708	0.5996810207
99	0.320715042	0.5996810207
100	0.3203449574	0.5987261146
101	0.3201371307	0.599840891
102	0.3200853027	0.599840891
103	0.3197448338	0.6007968127
104	0.3194200122	0.5992031873
105	0.3189337363	0.6014319809
106	0.3186071414	0.6025437202
107	0.3181099494	0.6030230708
108	0.3176137345	0.6023904382
109	0.3172090756	0.6023904382
110	0.3167935282	0.6001596169
111	0.3164413015	0.6012759171
112	0.3161754712	0.6035031847
113	0.315910541	0.6035031847
114	0.3154109621	0.6050955414
115	0.3151084196	0.6044657097
116	0.314624621	0.6062052506
117	0.3142055137	0.6084193805
118	0.3138615164	0.6100079428
119	0.3135458792	0.6079365079
120	0.3133018064	0.6095238095
121	0.3128867382	0.6111111111
122	0.3123941657	0.6115965052
123	0.312174666	0.6111111111
124	0.3118432704	0.6117274168
125	0.3114789939	0.6123417722
126	0.3108954567	0.6139240506
127	0.3105919776	0.6150197628
128	0.3103223089	0.6172059984
129	0.3099191196	0.6184107002
130	0.3097468695	0.6193853428
131	0.3094624151	0.6178092987
132	0.3091738319	0.6188976378
133	0.3090138684	0.6184107002
134	0.3089307271	0.620581304
135	0.3087662283	0.6216640502
136	0.3085894558	0.6216640502
137	0.308353458	0.6216640502
138	0.3080712741	0.6232339089
139	0.3078857476	0.6221523959
140	0.3076372887	0.6232339089
141	0.3073589509	0.6232339089
142	0.3071413999	0.6221523959
143	0.3065554032	0.6237234878
144	0.3063509681	0.6248037677
145	0.3060554675	0.6233359436
146	0.3059298574	0.6233359436
147	0.3056034179	0.6233359436
148	0.3052840169	0.6244131455
149	0.3049105599	0.625
150	0.3045862012	0.6244131455
151	0.3043800122	0.6244131455
152	0.3042140304	0.6244131455
153	0.3040105872	0.625488663
154	0.3037302429	0.6265625
155	0.3033837135	0.6287051482
156	0.3032349907	0.6308411215
157	0.3028808124	0.6319066148
158	0.302512171	0.6319066148
159	0.3020049543	0.6314152411
160	0.3018303177	0.6314152411
161	0.3015628971	0.6324786325
162	0.3012513876	0.6335403727
163	0.3009433147	0.634032634
164	0.3006717729	0.632970451
165	0.3005654907	0.634032634
166	0.3002508108	0.634032634
167	0.3000600687	0.634525661
168	0.299909003	0.6355866356
169	0.2996351931	0.634525661
170	0.2991709971	0.6350194553
171	0.2989744032	0.6360808709
172	0.2987101728	0.6376360809
173	0.2985209737	0.6381987578
174	0.2982736623	0.6381987578
175	0.2978933616	0.6386946387
176	0.2976015593	0.6397515528
177	0.2973763966	0.6397515528
178	0.2969754987	0.642912471
179	0.2968693104	0.6429675425
180	0.2963936184	0.6450617284
181	0.2961934145	0.6455598456
182	0.296013184	0.6445131376
183	0.2958435185	0.6455598456
184	0.2957498845	0.6455598456
185	0.2953283538	0.6460587326
186	0.2951187772	0.6450116009
187	0.2947692684	0.6460587326
188	0.2947258178	0.6460587326
189	0.294512207	0.6455108359
190	0.2940487065	0.6476043277
191	0.2937832336	0.647560031
192	0.293486865	0.6470588235
193	0.2933942325	0.6491499227
194	0.2931167233	0.6507324595
195	0.2928735699	0.6512345679
196	0.2927144687	0.6501930502
197	0.2923652481	0.649691358
198	0.2921679951	0.6486486486
199	0.2921192016	0.6486486486
200	0.291903402	0.6501930502
201	0.2917099781	0.6522744796
202	0.2914077434	0.6507324595
203	0.2910806119	0.6517719569
204	0.290912204	0.6512345679
205	0.2907354993	0.6528098537
206	0.2904943484	0.6533127889
207	0.2900714724	0.6522411128
208	0.2897212988	0.652745553
209	0.2895968962	0.6537867079
210	0.2894224711	0.6543209877
211	0.2893651953	0.6543209877
212	0.2891251392	0.654853621
213	0.2889445993	0.6538164996
214	0.2885576678	0.6574287914
215	0.288261961	0.6579352851
216	0.2879070514	0.6574287914
217	0.2877201335	0.6574287914
218	0.2874889365	0.6569230769
219	0.2871490098	0.6569230769
220	0.28692414	0.6579554189
221	0.2866346227	0.6584615385
222	0.2864606204	0.6594926979
223	0.2861946476	0.6605222734
224	0.2860270607	0.6615502686
225	0.2858013311	0.6615502686
226	0.2855596913	0.6605363985
227	0.2854159395	0.6600153492
228	0.2852288706	0.6600153492
229	0.2848153001	0.6610429448
230	0.2846524486	0.6610429448
231	0.2843461095	0.6620689655
232	0.2841394714	0.6620689655
233	0.2839583148	0.663093415
234	0.2837219705	0.6620689655
235	0.2836486235	0.6641162969
236	0.283429752	0.662586075
237	0.2831348906	0.6641162969
238	0.2829978803	0.6646248086
239	0.2828368467	0.6656465187
240	0.2826748261	0.6656465187
241	0.2824995408	0.6651340996
242	0.2823525924	0.6656465187
243	0.2821710665	0.6656465187
244	0.2818480565	0.6661562021
245	0.2815291692	0.6661562021
246	0.2812438389	0.6681957187
247	0.2811168843	0.6671767406
248	0.2807949967	0.6671767406
249	0.2806289543	0.6681957187
250	0.2803588054	0.6676852559
251	0.2800819337	0.6687022901
252	0.2799011204	0.6697177727
253	0.2797722534	0.6707317073
254	0.2795692886	0.6697177727
255	0.2794930449	0.6707317073
256	0.2792355034	0.6712433257
257	0.2789613469	0.6712433257
258	0.2788314414	0.6712433257
259	0.2785840542	0.6707317073
260	0.2782378081	0.6707317073
261	0.2780404732	0.6702208682
262	0.2778038045	0.6702208682
263	0.2775540791	0.6702208682
264	0.277444733	0.6702208682
265	0.2772397775	0.6702208682
266	0.2770872358	0.6702208682
267	0.2768622724	0.6702208682
268	0.2766781274	0.6712328767
269	0.2764556706	0.6712328767
270	0.2763132938	0.6702208682
271	0.2759947859	0.6742596811
272	0.2758065192	0.6742596811
273	0.2755836164	0.6752655539
274	0.2753624716	0.6737481032
275	0.2750157678	0.6737481032
276	0.274831223	0.6752655539
277	0.2744467595	0.6742596811
278	0.2741488268	0.6762699014
279	0.2739211804	0.6772727273
280	0.2737554549	0.6777862017
281	0.2736424224	0.6777862017
282	0.2735142796	0.6777862017
283	0.2734159208	0.6777862017
284	0.27312634	0.6782740348
285	0.2727806182	0.6787878788
286	0.2726077622	0.6797880394
287	0.2724329899	0.6787878788
288	0.2722222539	0.6797880394
289	0.2719269842	0.6793025019
290	0.2716663584	0.6818181818
291	0.2713936743	0.6833333333
292	0.2711344896	0.6828160484
293	0.2709782414	0.6828160484
294	0.2706988149	0.684330053
295	0.270522239	0.6822995461
296	0.270264089	0.6828160484
297	0.2700923348	0.6818181818
298	0.2699543255	0.6818181818
299	0.2696936807	0.6833333333
300	0.2694259164	0.6833333333
301	0.2692211128	0.6833333333
302	0.2689669571	0.684330053
303	0.2686971434	0.684330053
304	0.2684758405	0.684330053
305	0.2682937256	0.684330053
306	0.2680673882	0.6838124054
307	0.267917485	0.6838124054
308	0.2676904463	0.6868381241
309	0.2674114877	0.686318972
310	0.2671757704	0.6873111782
311	0.2670191231	0.6873111782
312	0.2668938256	0.6873111782
313	0.2666806107	0.6873111782
314	0.2664223992	0.6873111782
315	0.2662069215	0.6873111782
316	0.2660309802	0.6873111782
317	0.2657468696	0.6902788244
318	0.2655432193	0.6902788244
319	0.2653404393	0.6902788244
320	0.2651286832	0.6902788244
321	0.2648377764	0.6907993967
322	0.264581303	0.6902788244
323	0.2643252425	0.6892911011
324	0.2641776178	0.6892911011
325	0.2639917777	0.6892911011
326	0.263819763	0.6892911011
327	0.2635162641	0.6902788244
328	0.2632304365	0.6902788244
329	0.2630523621	0.6912650602
330	0.2628765369	0.6912650602
331	0.2626484102	0.6912650602
332	0.2624396012	0.6927710843
333	0.2623675087	0.6927710843
334	0.2620552922	0.6927710843
335	0.2618242004	0.6937547028
336	0.2616832627	0.6937547028
337	0.2614243924	0.6937547028
338	0.2612427528	0.6937547028
339	0.2611760494	0.6937547028
340	0.2610657763	0.6937547028
341	0.2608849995	0.6937547028
342	0.2606766388	0.6937547028
343	0.2604392269	0.6937547028
344	0.2602278276	0.6937547028
345	0.2598984736	0.6937547028
346	0.2597433228	0.6937547028
347	0.2596139488	0.6937547028
348	0.2594884185	0.6937547028
349	0.2593731742	0.6937547028
350	0.2592681185	0.6937547028
351	0.2589244434	0.6947368421
352	0.2586522776	0.6947368421
353	0.2584843271	0.6947368421
354	0.258327264	0.6947368421
355	0.2581538654	0.6947368421
356	0.2579969571	0.6947368421
357	0.2578092072	0.6936936937
358	0.2575205399	0.6931732933
359	0.2573250532	0.6936936937
360	0.2570943976	0.6952595937
361	0.256905597	0.6962406015
362	0.2567283818	0.6972201352
363	0.2566245903	0.6977443609
364	0.2565638107	0.6977443609
365	0.2563938626	0.6977443609
366	0.2562900476	0.6972201352
367	0.2561070034	0.6987227648
368	0.2558557849	0.6987227648
369	0.2557095179	0.6987227648
370	0.2555028017	0.6996996997
371	0.2553314677	0.6996996997
372	0.2552149823	0.6996996997
373	0.2550656252	0.7002253944
374	0.2548963503	0.7002253944
375	0.254637725	0.6996996997
376	0.2543812322	0.6996996997
377	0.2541743188	0.6996996997
378	0.2539438008	0.7006751688
379	0.2538303419	0.7006751688
380	0.2536364793	0.7026217228
381	0.2535131429	0.7026217228
382	0.2533569371	0.7026217228
383	0.2532429444	0.7026217228
384	0.2531099695	0.7026217228
385	0.252854888	0.7031484258
386	0.2526949036	0.7031484258
387	0.252533613	0.7031484258
388	0.2522790373	0.7031484258
389	0.2520257317	0.703675919
390	0.2517700348	0.7032306536
391	0.2515845858	0.7032306536
392	0.2512896454	0.7027027027
393	0.251143447	0.7027027027
394	0.2509516441	0.7012012012
395	0.2507534406	0.703675919
396	0.2504980642	0.703675919
397	0.2502877148	0.7051762941
398	0.2501009373	0.7051762941
399	0.2498649177	0.7027027027
400	0.249767626	0.7027027027
401	0.2495355954	0.703675919
402	0.2494136635	0.7056179775
403	0.2493268134	0.7056179775
404	0.249113581	0.7056179775
405	0.2489953459	0.7056179775
406	0.2487407739	0.7045624533
407	0.2486283812	0.7045624533
408	0.2483740845	0.7045624533
409	0.2482005673	0.7050898204
410	0.2479876215	0.7050898204
411	0.2477389735	0.7050898204
412	0.2476383443	0.7065868263
413	0.2474374746	0.7065868263
414	0.2471361593	0.7065868263
415	0.2469417783	0.7075542259
416	0.2467769414	0.7070254111
