iter	Logloss	F1
0	0.6748919211	0.5215982721
1	0.658356407	0.5488565489
2	0.641621987	0.556122449
3	0.6285924171	0.5234248788
4	0.6135369959	0.5493472585
5	0.5995280078	0.5431034483
6	0.5869726429	0.5536842105
7	0.5778284298	0.5413533835
8	0.5680588863	0.5411255411
9	0.5560022438	0.5469255663
10	0.546149909	0.5484913793
11	0.535695144	0.5579171095
12	0.5263894797	0.5541401274
13	0.5171034768	0.5637513172
14	0.5084236126	0.5610142631
15	0.5010306898	0.5645076356
16	0.4935429316	0.5640756303
17	0.4861625523	0.5661764706
18	0.4800316202	0.5685759327
19	0.4746934334	0.569773565
20	0.4692809276	0.5697674419
21	0.4632357371	0.5694591729
22	0.4586150938	0.5721840296
23	0.4531049923	0.5659574468
24	0.4489043957	0.5581896552
25	0.4440059252	0.5587918015
26	0.4404589084	0.551275095
27	0.435787773	0.5542299349
28	0.4307247482	0.5595238095
29	0.4259861378	0.5643511039
30	0.4219316355	0.5640473628
31	0.4188127325	0.5686695279
32	0.415953904	0.5679012346
33	0.4124263886	0.5685115529
34	0.4093560265	0.5672766416
35	0.4065674031	0.5683530678
36	0.4039970667	0.5683530678
37	0.4011737604	0.5686591276
38	0.3985880059	0.5711218465
39	0.3961200751	0.5737265416
40	0.3941896034	0.5703544576
41	0.3921553022	0.5688172043
42	0.3892508215	0.570660935
43	0.3873291217	0.5711218465
44	0.3854580397	0.571274879
45	0.3832334112	0.5715817694
46	0.3814383124	0.5708154506
47	0.3798117326	0.5689747719
48	0.3775815877	0.5700483092
49	0.3759018694	0.5709677419
50	0.3740707995	0.571888412
51	0.3722011491	0.5749464668
52	0.3706039777	0.5757089353
53	0.3691946648	0.5767790262
54	0.3681468192	0.5778491172
55	0.367152305	0.574650913
56	0.3658285546	0.5737265416
57	0.3646390781	0.5751072961
58	0.3633807067	0.5784681307
59	0.3619295541	0.5784681307
60	0.3605790636	0.579539368
61	0.3597472925	0.5806106052
62	0.3589221656	0.5809217578
63	0.3581126296	0.5786366076
64	0.357707331	0.5783261803
65	0.3565892136	0.5772532189
66	0.3559248093	0.576489533
67	0.3550502058	0.5760343901
68	0.3543258092	0.5757250269
69	0.3536014332	0.5763256561
70	0.3530428091	0.5775630703
71	0.3524172812	0.5767991407
72	0.3516313857	0.5789473684
73	0.3505540496	0.5777299623
74	0.3498486706	0.5789473684
75	0.3491133456	0.5789473684
76	0.3483751041	0.5800214823
77	0.3476552523	0.5797101449
78	0.3469305409	0.5789473684
79	0.3462661637	0.5791173305
80	0.3455585758	0.5792584632
81	0.3446021918	0.5824411135
82	0.343808305	0.5828877005
83	0.3431081819	0.5828877005
84	0.3426000635	0.5816818425
85	0.3422486713	0.5839572193
86	0.3417440837	0.5828877005
87	0.3412164076	0.5839572193
88	0.3407798666	0.58105939
89	0.3403403946	0.5836451096
90	0.3399484966	0.5836451096
91	0.3395431469	0.5836451096
92	0.3387834835	0.5844017094
93	0.3385353826	0.5840896957
94	0.3381715125	0.5848452508
95	0.3375976087	0.5856
96	0.3371965047	0.5848452508
97	0.3366803415	0.5859124867
98	0.3360588594	0.5848452508
99	0.3356989996	0.5848452508
100	0.3351201878	0.5842217484
101	0.3345603369	0.5844845909
102	0.3341529595	0.5844845909
103	0.3337614456	0.58492569
104	0.3333542615	0.5867374005
105	0.3329634867	0.5855472901
106	0.3324574804	0.5866099894
107	0.3320289048	0.5884227297
108	0.3316499791	0.5873605948
109	0.3314330798	0.5877984085
110	0.3310709628	0.5874867444
111	0.3306722754	0.5883597884
112	0.3303564048	0.5874867444
113	0.3300687774	0.5892951775
114	0.329793625	0.5896076352
115	0.3294436612	0.5897300159
116	0.3290423927	0.5896076352
117	0.3287609957	0.5889830508
118	0.3285921741	0.5889830508
119	0.3283185753	0.5907887771
120	0.3281307144	0.5907887771
121	0.3280813091	0.5903550609
122	0.3278121236	0.5903550609
123	0.3274357242	0.5911016949
124	0.3271753143	0.5918475384
125	0.3270293629	0.5918475384
126	0.3266467378	0.5930232558
127	0.3262773557	0.5922792173
128	0.3260152783	0.5930232558
129	0.3256412538	0.5941952507
130	0.3253156174	0.5937665082
131	0.3251086357	0.5945089757
132	0.3248624685	0.5949367089
133	0.324611113	0.5934530095
134	0.3243156066	0.5945089757
135	0.3241456955	0.5930232558
136	0.3238174044	0.5948230322
137	0.3235311	0.5958795563
138	0.3232699372	0.5958795563
139	0.3230147053	0.5948230322
140	0.3227611139	0.5951374207
141	0.322580909	0.5951374207
142	0.3222224718	0.5943945003
143	0.3220553563	0.5943945003
144	0.3218462351	0.5947089947
145	0.3216852256	0.5947089947
146	0.3212803273	0.5951374207
147	0.3211220823	0.5957671958
148	0.3208146615	0.5965097832
149	0.3206523079	0.5958795563
150	0.3205097697	0.5958795563
151	0.320182312	0.5976768743
152	0.3200050325	0.5959915612
153	0.3197091742	0.5974710221
154	0.319545017	0.5985247629
155	0.3192347955	0.5995785037
156	0.3190072328	0.6006322445
157	0.3188057381	0.6003159558
158	0.3185410574	0.5995785037
159	0.3183385904	0.5991561181
160	0.3181139447	0.6002109705
161	0.317864511	0.6016859852
162	0.3176603758	0.6024223275
163	0.3174996303	0.6024223275
164	0.3172922224	0.6024223275
165	0.3170570859	0.6031578947
166	0.3169185946	0.6043089858
167	0.3166967662	0.603575184
168	0.316534788	0.6031578947
169	0.3162964133	0.6031578947
170	0.3161620049	0.6031578947
171	0.3160430627	0.602739726
172	0.3158682538	0.602739726
173	0.3157533026	0.6038926881
174	0.3155416664	0.6043089858
175	0.3152790407	0.6050420168
176	0.3152165783	0.6047244094
177	0.3150125925	0.6050420168
178	0.3148634673	0.6050420168
179	0.31483399	0.605359958
180	0.314666527	0.606092437
181	0.3144622577	0.6054564533
182	0.3142085494	0.6066003143
183	0.3140387125	0.6072364971
184	0.3139205574	0.606918239
185	0.3136467177	0.6080586081
186	0.3135079627	0.6073298429
187	0.3133541516	0.6091051805
188	0.3132073628	0.6077405858
189	0.3130548466	0.6083769634
190	0.3128863944	0.6091051805
191	0.3128550092	0.6091051805
192	0.3125515961	0.6109660574
193	0.3123673789	0.6106471816
194	0.3121889186	0.6113719353
195	0.3120347008	0.6106471816
196	0.3118738061	0.6106471816
197	0.3117137041	0.6120959333
198	0.3115731378	0.6128191767
199	0.3114569869	0.6128191767
200	0.3112627868	0.6128191767
201	0.3111510281	0.6128191767
202	0.3109841621	0.6135416667
203	0.3107153111	0.6138613861
204	0.3105477117	0.6135416667
205	0.3103862358	0.6145833333
206	0.3102392739	0.6132222801
207	0.3100598198	0.613624545
208	0.30996573	0.6139438085
209	0.3098217874	0.613624545
210	0.3096322677	0.6142634045
211	0.3094148896	0.6146645866
212	0.3092310583	0.6150649351
213	0.3090291189	0.6161038961
214	0.3089257469	0.6161038961
215	0.308846231	0.6164241164
216	0.3087434931	0.6164241164
217	0.3086726866	0.6171428571
218	0.3085120075	0.6164241164
219	0.3084386848	0.6164241164
220	0.3082069419	0.6164241164
221	0.3080885618	0.6164241164
222	0.3079086761	0.6149843913
223	0.3077965944	0.6157046282
224	0.3075861018	0.6170655567
225	0.3075194737	0.6170655567
226	0.3073792209	0.6177847114
227	0.3071706124	0.6177847114
228	0.306986946	0.6181818182
229	0.3068638678	0.6181818182
230	0.3067127648	0.6185031185
231	0.3066207661	0.6185031185
232	0.3064639658	0.6177847114
233	0.306286302	0.6185031185
234	0.3061392867	0.6177847114
235	0.3060152108	0.6195426195
236	0.3058429403	0.6202597403
237	0.3056728356	0.6209761163
238	0.3054970916	0.6205821206
239	0.3053714908	0.6205821206
240	0.3051777069	0.6205821206
241	0.3050605042	0.6205821206
242	0.3049391146	0.6220145379
243	0.304760742	0.6227296316
244	0.3046639394	0.6227296316
245	0.3045633221	0.6234439834
246	0.3044552363	0.6234439834
247	0.3043502019	0.6241575946
248	0.3042731793	0.6244813278
249	0.3041428954	0.6248704663
250	0.3040826293	0.6241575946
251	0.3039544175	0.6252587992
252	0.3038563943	0.6249353337
253	0.3038365555	0.6249353337
254	0.3036154139	0.6263565891
255	0.3035107965	0.6263565891
256	0.3034017966	0.6256463289
257	0.3032029674	0.6263565891
258	0.3030260703	0.6263565891
259	0.3029091548	0.6273901809
260	0.3028091453	0.6270661157
261	0.3026406518	0.6267423851
262	0.302567046	0.6267423851
263	0.3024284222	0.6270661157
264	0.3022229343	0.6288659794
265	0.3020646293	0.6285419887
266	0.3017560748	0.6268041237
267	0.301554417	0.6271273853
268	0.30138042	0.6264189886
269	0.3010339226	0.6253869969
270	0.3009527781	0.6278350515
271	0.300806416	0.6257098606
272	0.3006451666	0.6268041237
273	0.3005042911	0.6260959257
274	0.3003962885	0.6285419887
275	0.3003894512	0.6285419887
276	0.3001499485	0.6306584362
277	0.3000661255	0.6299536799
278	0.2999171168	0.6292481977
279	0.2998117038	0.6292481977
280	0.2996587803	0.6292481977
281	0.299477114	0.6299536799
282	0.2993724708	0.6299536799
283	0.2991818388	0.6292481977
284	0.2990832171	0.6292481977
285	0.2989435359	0.6295723854
286	0.2988244774	0.6298969072
287	0.2985757099	0.6292481977
288	0.298466434	0.6289243438
289	0.2983978596	0.6289243438
290	0.2982717263	0.6292481977
291	0.2981163517	0.6299536799
292	0.2980040675	0.6306584362
293	0.2979355665	0.630983016
294	0.2978196728	0.630983016
295	0.2975530176	0.6327683616
296	0.2975291455	0.6327683616
297	0.2973263106	0.6317411402
298	0.2972273168	0.6331452027
299	0.297158924	0.6324435318
300	0.2970458265	0.6324435318
301	0.2969498605	0.6338461538
302	0.2969027259	0.6338461538
303	0.2967753002	0.6331452027
304	0.2966348735	0.6338461538
305	0.2964314813	0.6352459016
306	0.2963309208	0.6345463865
307	0.2962482152	0.6345463865
308	0.2960579596	0.6338461538
309	0.2958723529	0.6359447005
310	0.2957717868	0.6355715018
311	0.2956164839	0.6362704918
312	0.2955192307	0.636642784
313	0.2953938702	0.6376663255
314	0.2952645238	0.6345957011
315	0.2951575444	0.6363171355
316	0.2950745597	0.6356192426
317	0.2949561117	0.6356192426
318	0.2948698575	0.6363171355
319	0.2947127473	0.6370143149
320	0.2945555998	0.6373401535
321	0.2944541269	0.6380368098
322	0.2942748541	0.6383631714
323	0.2940996248	0.6383631714
324	0.293946349	0.6390593047
325	0.2937587905	0.6397547266
326	0.2936175811	0.6400817996
327	0.2934737874	0.6400817996
328	0.2933578854	0.6400817996
329	0.2932308131	0.6404092072
330	0.2930942631	0.640776699
331	0.2929995351	0.6421643696
332	0.292832794	0.640776699
333	0.2926766812	0.6400817996
334	0.2924892591	0.6404494382
335	0.2923829498	0.6411434405
336	0.2922748	0.6411434405
337	0.2922241703	0.6411434405
338	0.2920425761	0.6411434405
339	0.2918876628	0.6411434405
