iter	Passed	Remaining
0	2	2531
1	4	2414
2	7	2415
3	9	2361
4	11	2315
5	14	2327
6	16	2359
7	18	2330
8	21	2341
9	24	2380
10	26	2392
11	29	2394
12	31	2399
13	33	2389
14	36	2377
15	38	2365
16	40	2360
17	43	2355
18	45	2342
19	47	2330
20	49	2320
21	51	2311
22	53	2287
23	56	2278
24	58	2268
25	60	2273
26	63	2277
27	65	2273
28	67	2268
29	69	2261
30	72	2266
31	74	2268
32	77	2265
33	79	2256
34	81	2248
35	83	2241
36	85	2234
37	87	2227
38	90	2222
39	92	2216
40	94	2209
41	96	2205
42	98	2199
43	101	2194
44	103	2190
45	105	2184
46	107	2178
47	109	2173
48	111	2171
49	113	2159
50	115	2157
51	118	2161
52	121	2169
53	123	2168
54	126	2169
55	128	2167
56	131	2170
57	133	2168
58	135	2165
59	138	2163
60	140	2160
61	142	2155
62	144	2151
63	146	2146
64	148	2135
65	150	2132
66	152	2128
67	155	2124
68	157	2120
69	159	2116
70	161	2112
71	163	2108
72	165	2104
73	167	2100
74	170	2097
75	172	2094
76	174	2091
77	176	2087
78	178	2084
79	180	2081
80	188	2141
81	190	2137
82	192	2130
83	194	2126
84	197	2126
85	199	2122
86	201	2118
87	204	2115
88	206	2111
89	210	2130
90	212	2127
91	215	2123
92	217	2121
93	219	2113
94	221	2110
95	223	2107
96	225	2103
97	228	2099
98	230	2094
99	232	2090
100	234	2088
101	236	2085
102	238	2081
103	241	2083
104	244	2080
105	246	2076
106	248	2073
107	250	2069
108	252	2066
109	254	2062
110	257	2058
111	259	2055
112	261	2051
113	263	2048
114	265	2044
115	267	2041
116	270	2038
117	272	2035
118	274	2031
119	276	2028
120	278	2025
121	280	2019
122	282	2015
123	284	2012
124	287	2009
125	289	2005
126	291	2002
127	293	1999
128	295	1995
129	297	1993
130	299	1989
131	302	1986
132	304	1982
133	306	1980
134	308	1978
135	311	1976
136	313	1974
137	315	1971
138	317	1969
139	320	1966
140	322	1964
141	324	1963
142	327	1960
143	329	1960
144	331	1957
145	334	1954
146	336	1950
147	338	1948
148	340	1945
149	342	1942
150	345	1940
151	347	1937
152	349	1934
153	351	1932
154	354	1929
155	356	1927
156	358	1925
157	360	1922
158	363	1920
159	365	1917
160	367	1914
161	369	1913
162	372	1910
163	374	1908
164	376	1905
165	378	1901
166	380	1898
167	382	1896
168	385	1893
169	388	1898
170	390	1895
171	393	1892
172	395	1889
173	397	1886
174	399	1883
175	401	1881
176	403	1875
177	405	1873
178	407	1871
179	409	1866
180	411	1863
181	414	1863
182	417	1864
183	419	1861
184	421	1859
185	424	1856
186	426	1853
187	428	1850
188	430	1847
189	432	1844
190	434	1842
191	436	1837
192	438	1834
193	440	1831
194	443	1829
195	445	1826
196	447	1823
197	449	1820
198	451	1817
199	453	1815
200	455	1812
201	458	1809
202	460	1806
203	462	1803
204	464	1801
205	466	1798
206	468	1795
207	470	1792
208	472	1789
209	475	1787
210	477	1784
211	479	1781
