iter	Logloss
0	0.6792490299
1	0.665808828622	0.653621127733	0.642533443644	0.63409545	0.5	0.62526316	0.6166081134
7	0.6090655932
8	0.6026307841
9	0.5972534718
10	0.5926100806
11	0.5879452077
12	0.5841648585
13	0.5794503154
14	14	0.5765575515	15	0.5729816516	16	0.5699177317	17	0.5674204718	18	0.5636288619	19	0.560467832020	0.5573394022121	0.5542148222222	0.5522456742323	0.5501239882424	0.5470591812525	0.5450157192626	0.5420369632727	0.5403954962828	0.5374564642929	0.5354870230	30	0.5338185831	31	0.5310805332	32	0.5291051233	33	0.527349834	034	0.525668435	035	0.524387436	036	0.522408037	37	0.520892823838	0.5191129939	39	0.5172682640	40	0.515659484141	0.5137745274242	0.5128228774343	0.51095447
44	0.5098307114
45	0.5079028404
46	0.5067445802447	0.5053855376448	0.5042352168449	0.5028188723550	0.5012441031551	0.4997252381552	0.4985614776553	0.4970558612554	0.4959058452555	0.4942596874556	0.4933415952557	0.4919715125558	0.4904902549559	0.4888909634660	0.488107435
61	0.4869107515
62	0.4854135663
63	0.4841414153
64	0.4833845219
65	0.4815282031
66	0.4799057969
67	0.4790400588
68	0.4809949817
69	0.4793730946
70	0.4765023442771	0.4756384789772	0.4749549636773	0.473817298
74	0.4730313022
75	0.4720932253
76	0.4711116717777	0.4701564817878	0.4691717637979	0.4685007358080	0.467420126881	0.4667004904882	0.4660776624883	0.4652892833884	0.4644272568885	0.4637739652886	0.4631444842887	0.4623881128888	0.4616317848989	0.4609992819090	0.4604557149191	0.4596726489292	0.4590080293	93	0.4582671494	94	0.4570144495	95	0.4565764696	96	0.4558951597	97	0.455333398	098	0.454521099	99	0.45323168100100	0.45247317101101	0.45194442102102	0.45140092103103	0.45089648104104	0.4496051910105	0.44910248810106	0.44867232107107	0.44805910108108	0.44724540109109	0.44680477110110	0.44623254111111	0.44568714112112	0.44495790113113	0.44443766114114	0.44358318115115	0.44307803116116	0.4425587117	117	0.4419666118	118	0.4413249119119	0.44072321120120	0.44012723121121	0.43961898122122	0.43873494123123	0.43816155124124	0.43729553125125	0.43677794126126	0.43619936127127	0.43537365128128	0.43500255129129	0.4342466613130	0.4338050981131	0.43311021661132	0.43255452931133	0.43210711851134	0.43167580811135	0.43106767613136	0.43056945413137	0.43019381413138	0.42969609313139	0.42920092114140	0.42881591014141	0.42821523714142	0.42767010314143	0.42720436714144	0.42681738714145	0.42646559114146	0.42596790314147	0.42528189514148	0.42475203614149	0.42441164315150	0.42407272715151	0.42361033
152	0.423182814
153	0.4225075253
154	0.4221387767
155	0.4216227144
156	0.4211787955
157	0.42080262971158	0.42026520691159	0.41988995121160	0.41941128371161	0.41900465621162	0.41858830631163	0.41799612821164	0.41765486691165	0.41735132911166	0.41704265611167	0.41671201011168	0.4164288
169	0.4161274126
170	0.4157142796
171	0.4153741334
172	0.4149329461
173	0.4143746653
174	0.413960382
175	0.4135906107
176	0.4132959581
177	0.4129637162
178	0.4125545633
179	0.4121232471
180	0.4118544097
181	0.4114732315
182	0.4111432803
183	0.410759044
184	0.4103772848
185	0.4098993189
186	0.4094761933
187	0.4091938701
188	0.4088824719
189	0.4085116749
190	0.4082848027
191	0.4079692596
192	0.4074897479
193	0.4071673429
194	0.4068924565
195	0.4066770491
196	0.4064398506
197	0.4059601899
198	0.4057380085
199	0.405481689
200	0.4049109678
201	0.4045626088
202	0.4042887827
203	0.4039500918
204	0.4037570057
205	0.4034616178
206	0.403118288
207	0.4028202794
208	0.4024728934
209	0.4020743753
210	0.4016876419
211	0.4014651046
212	0.40123362192213	0.40093218621214	0.4005919532215	0.40015188312216	0.39987789242217	0.39958330012218	0.39930539182219	0.39908039052220	0.39863622422221	0.39835719082222	0.39818919432223	0.39773994222224	0.39734750522225	0.39689881122226	0.3965622382227	0.3962882
228	0.3958301046
229	0.3955181368
230	0.3952210544
231	0.3948704818
232	0.3945411834
233	0.3943000898
234	0.3939921841
235	0.3936877958
236	0.3933773217
237	0.393145569
238	0.3929364203
239	0.3927499865
240	0.3925110962
241	0.3921119944
242	0.3917611036
243	0.3915082161
244	0.3912320689
245	0.3910024413
246	0.3906981934
247	0.3904647537
248	0.3901659704
249	0.3898315554
250	0.3895768792
251	0.3891813688
252	0.3889415058
253	0.3886630999
254	0.3884147599
255	0.3881322859
256	0.3876464665
257	0.3873791331
258	0.3871500409
259	0.3865284151
260	0.3859624064
261	0.3857198141
262	0.3855526833
263	0.3850371998
264	0.384845686
265	0.3846404255
266	0.3843375789
267	0.3840333367
268	0.3837517893
269	0.3834814387
270	0.3832890841
271	0.3830176603
272	0.3826389387
273	0.382478787
274	0.3822204582
275	0.3819506966
276	0.381748789
277	0.3815496082
278	0.3812734811
279	0.3808753376
280	0.3806868397
281	0.3803731072
282	0.3799367144
283	0.3797873104
284	0.3795468113
285	0.3793092263
286	0.379028264
287	0.3788339378
288	0.3786160746
289	0.378120488
290	0.3778522479
291	0.3775035902
292	0.3772633037
293	0.3770161527
294	0.376797959
295	0.3765633958
296	0.3763640472
297	0.3761830583
298	0.3760479634
299	0.375856505
300	0.3755480944
301	0.3752199216
302	0.3749891618
303	0.3747545675
304	0.3744631819
305	0.3741581744
306	0.3740136569
307	0.3737152414
