iter	MAE
0	8.051481343
1	8.007766633
2	7.957066556
3	7.912989611
4	7.85118725
5	7.812811615
6	7.777051799
7	7.74248507
8	7.684432308
9	7.635968723
10	7.591383387
11	7.553923077
12	7.513652493
13	7.487300153
14	7.449105957
15	7.401831093
16	7.374534457
17	7.330099389
18	7.287900163
19	7.265914547
20	7.239461171
21	7.202568032
22	7.17182795
23	7.131898156
24	7.099418976
25	7.074556301
26	7.044123071
27	7.014486677
28	6.983020019
29	6.95195997
30	6.92022909
31	6.895045176
32	6.867401726
33	6.838970229
34	6.814021498
35	6.792582778
36	6.778193332
37	6.76307017
38	6.740452337
39	6.726151245
40	6.713420333
41	6.684958022
42	6.673938649
43	6.650933258
44	6.636787213
45	6.612895667
46	6.599622032
47	6.580933781
48	6.56604951
49	6.546830126
50	6.528374748
51	6.509639016
52	6.486585471
53	6.473631217
54	6.461080101
55	6.447194179
56	6.430498239
57	6.411199552
58	6.397298667
59	6.37786347
60	6.365379485
61	6.353930488
62	6.344169986
63	6.329001336
64	6.312631354
65	6.298376076
66	6.284432765
67	6.268487948
68	6.255304693
69	6.244273388
70	6.235485107
71	6.220156327
72	6.212938568
73	6.199330979
74	6.190011391
75	6.178129275
76	6.168929313
77	6.163368376
78	6.150767779
79	6.141830401
80	6.132149145
81	6.121939363
82	6.11220585
83	6.103023247
84	6.095078739
85	6.087227022
86	6.082311225
87	6.074927163
88	6.062859829
89	6.050297468
90	6.040713405
91	6.032569059
92	6.020998502
93	6.012710527
94	6.005233925
95	5.993260589
96	5.987209326
97	5.978683688
98	5.971338747
99	5.961961142
100	5.954388268
101	5.945691663
102	5.93737512
103	5.926665107
104	5.917990478
105	5.911530923
106	5.900074486
107	5.889191328
108	5.882065533
109	5.871732064
110	5.866174374
111	5.858180303
112	5.850822061
113	5.841838723
114	5.837312139
115	5.833751924
116	5.827527934
117	5.821882032
118	5.816930228
119	5.813236329
120	5.804116989
121	5.7959206
122	5.790031903
123	5.783887356
124	5.7761111
125	5.769111288
126	5.763136733
127	5.759189706
128	5.752793234
129	5.745260132
130	5.739490377
131	5.733138503
132	5.726542189
133	5.720197357
134	5.713549882
135	5.70948069
136	5.704151031
137	5.694482983
138	5.691066183
139	5.684973707
140	5.676863427
141	5.668741036
142	5.66299392
143	5.659864339
144	5.654469911
145	5.645191383
146	5.639793334
147	5.6352778
148	5.631372891
149	5.626631595
150	5.621965032
151	5.618144336
152	5.611857567
153	5.606438749
154	5.601639069
155	5.59659118
156	5.5899165
157	5.585778629
158	5.582487162
159	5.574087507
160	5.570366998
161	5.564559707
162	5.558733104
163	5.552291598
164	5.54787086
165	5.543140131
166	5.535615526
167	5.531047837
168	5.528092945
169	5.52305608
170	5.516267311
171	5.513097509
172	5.510810739
173	5.505750423
174	5.503666786
175	5.498891059
176	5.493970153
177	5.490093026
178	5.487015662
179	5.480823108
180	5.477333448
181	5.47285768
182	5.468047612
183	5.4627821
184	5.457268673
185	5.448069374
186	5.442811892
187	5.43708619
188	5.433148068
189	5.430248651
190	5.428582336
191	5.424718758
192	5.422721994
193	5.419945815
194	5.416292483
195	5.407925102
196	5.405320423
197	5.400475724
198	5.39311124
199	5.386894204
200	5.381410963
