iter	Passed	Remaining
0	1	1443
1	3	1598
2	4	1549
3	6	1608
4	9	1798
5	10	1770
6	12	1733
7	13	1680
8	14	1628
9	16	1591
10	17	1555
11	18	1515
12	19	1493
13	21	1485
14	23	1559
15	25	1558
16	26	1558
17	28	1533
18	29	1515
19	30	1492
20	31	1478
21	32	1462
22	34	1454
23	36	1466
24	38	1509
25	40	1529
26	42	1519
27	43	1510
28	44	1493
29	45	1485
30	47	1471
31	48	1460
32	49	1457
33	52	1482
34	54	1489
35	55	1480
36	56	1474
37	57	1466
38	59	1458
39	60	1449
40	61	1442
41	62	1435
42	64	1443
43	68	1480
44	69	1479
45	70	1471
46	72	1463
47	73	1452
48	74	1446
49	75	1441
50	77	1435
51	78	1438
52	81	1454
53	82	1453
54	84	1447
55	85	1438
56	86	1432
57	88	1436
58	89	1431
59	91	1426
60	92	1423
61	96	1459
62	98	1461
63	99	1457
64	100	1452
65	102	1447
66	103	1443
67	104	1437
68	106	1440
69	108	1443
70	110	1441
71	111	1437
72	112	1432
73	114	1428
74	115	1424
75	116	1420
76	118	1414
77	119	1408
78	121	1421
79	123	1424
80	125	1423
81	126	1418
82	127	1413
83	129	1411
84	130	1406
85	131	1402
86	133	1401
87	136	1414
88	138	1413
89	139	1410
90	140	1406
91	142	1401
92	143	1397
93	144	1392
94	145	1387
95	146	1382
96	149	1389
97	151	1391
98	152	1389
99	154	1387
100	155	1383
101	156	1379
102	157	1374
103	159	1370
104	160	1366
105	161	1362
106	163	1365
107	165	1365
108	166	1362
109	167	1358
110	169	1354
111	170	1349
112	171	1346
113	172	1342
114	173	1338
115	175	1333
116	177	1337
117	179	1342
118	181	1342
119	182	1338
120	183	1334
121	185	1331
122	186	1328
123	187	1325
124	188	1321
125	189	1317
126	191	1318
127	193	1320
128	195	1319
129	196	1317
130	198	1313
131	199	1311
132	200	1307
133	201	1304
134	203	1301
135	204	1299
136	207	1306
137	209	1305
138	210	1303
139	211	1299
140	212	1296
141	214	1293
142	215	1290
143	216	1287
144	217	1283
145	219	1281
146	221	1282
147	222	1282
148	224	1282
149	225	1280
150	227	1277
151	228	1275
152	229	1272
153	231	1269
154	232	1267
155	234	1267
156	236	1269
157	238	1268
158	239	1265
159	240	1262
160	241	1259
161	242	1256
162	244	1253
163	245	1250
164	246	1247
165	247	1245
166	250	1249
167	252	1248
168	253	1247
169	254	1243
170	255	1241
171	257	1237
172	258	1234
173	259	1231
174	260	1228
175	261	1225
176	263	1227
177	266	1228
178	267	1226
179	268	1224
180	270	1221
181	271	1219
182	272	1216
183	273	1214
184	274	1211
185	276	1208
186	278	1208
187	280	1210
188	282	1211
189	283	1209
190	284	1206
191	286	1203
192	287	1200
193	288	1198
194	289	1195
195	291	1193
196	293	1194
197	294	1194
198	296	1192
199	297	1190
200	298	1187
201	300	1186
202	301	1183
203	302	1180
204	303	1177
205	305	1175
206	307	1176
