iter	MAE	RMSE
0	31.94166014	39.51859682
1	27.41848665	34.18463194
2	23.69252275	29.7989691
3	20.88622506	26.43581501
4	18.65954105	23.75863357
5	16.96459409	21.7436934
6	15.50732671	19.97274376
7	14.46060179	18.65996887
8	13.59226065	17.5960854
9	12.89354647	16.74849574
10	12.37352868	16.10156326
11	11.95879643	15.5868207
12	11.62195286	15.16640781
13	11.31594081	14.81701567
14	11.06763186	14.51608748
15	10.86222031	14.2608578
16	10.68010816	14.05093865
17	10.55061269	13.8865132
18	10.43234074	13.74961875
19	10.29988911	13.58337172
20	10.21655562	13.48330875
21	10.1276935	13.37263633
22	10.05431118	13.2888831
23	9.986074076	13.20188043
24	9.909893965	13.10753027
25	9.861332349	13.04283065
26	9.825276491	12.99239051
27	9.785371297	12.9383809
28	9.72370075	12.86594361
29	9.695143361	12.82877273
30	9.662820142	12.78314713
31	9.592066406	12.68771343
32	9.564010399	12.64858732
33	9.526059302	12.60525535
34	9.461872256	12.51990296
35	9.441870381	12.49612598
36	9.391142092	12.42541862
37	9.375844105	12.40382009
38	9.358368647	12.38288887
39	9.339116148	12.35743952
40	9.324953248	12.33918571
41	9.312951048	12.32324001
42	9.26805911	12.24884826
43	9.238991521	12.20981203
44	9.20628374	12.16375527
45	9.190769819	12.14261659
46	9.17451014	12.12101026
47	9.159333903	12.10279152
48	9.147892619	12.08474908
49	9.134151561	12.06822728
50	9.113651067	12.0422485
51	9.103335553	12.0274262
52	9.067897716	11.97132868
53	9.047170649	11.94672912
54	9.036035829	11.9318477
55	9.027061416	11.91961834
56	9.017971403	11.90706583
57	9.007940287	11.89140684
58	8.99834843	11.88007973
59	8.982324435	11.85928101
60	8.973526047	11.84596471
61	8.965129213	11.83562717
62	8.954751282	11.82227722
63	8.94428668	11.80821705
64	8.919079811	11.76610055
65	8.911847296	11.75379513
66	8.868687343	11.70441006
67	8.859436861	11.69100403
68	8.84149835	11.66897279
69	8.826936253	11.64705037
70	8.815151381	11.63031644
71	8.801846778	11.61162308
72	8.794232622	11.6022673
73	8.77057122	11.57239876
74	8.743679187	11.52994624
75	8.73059986	11.51436201
76	8.718518085	11.49965742
77	8.714422646	11.49375402
78	8.701218367	11.47792234
79	8.682209119	11.44963039
80	8.672675216	11.43672235
81	8.622184445	11.37661194
82	8.61008188	11.36048196
83	8.604829197	11.3519886
84	8.597420372	11.3428841
85	8.589776789	11.33113378
86	8.581675357	11.32050339
87	8.569997099	11.30532955
88	8.563342391	11.297161
89	8.559037131	11.29030968
90	8.551588174	11.28088429
91	8.545295302	11.27349292
92	8.540807823	11.26750247
93	8.5378974	11.26286653
94	8.493201251	11.2043694
95	8.483228943	11.19273248
96	8.476074185	11.1832098
97	8.466477409	11.16751993
98	8.43845651	11.1265333
99	8.429914926	11.11162701
100	8.419858763	11.09523681
101	8.418684503	11.09387523
102	8.413046301	11.08632287
103	8.407279869	11.07708466
104	8.3736516	11.02882924
105	8.366784442	11.01630846
106	8.358145571	11.00573369
107	8.353597224	10.99858013
108	8.334394147	10.97110896
109	8.327241139	10.96049702
110	8.324724246	10.95667296
111	8.316915056	10.94571289
112	8.302934434	10.92370723
113	8.288289024	10.90458265
114	8.260322083	10.87248824
115	8.250089204	10.86160283
116	8.246067057	10.8557627
117	8.240987689	10.84814768
118	8.233326589	10.83889631
119	8.232401864	10.83765782
120	8.229272646	10.83272605
121	8.221766213	10.82198619
122	8.215147515	10.80859945
123	8.205342603	10.79379213
124	8.202011267	10.78991016
125	8.194954747	10.77808831
126	8.187316802	10.76821142
127	8.179204543	10.75516902
128	8.172536537	10.74588932
129	8.169160658	10.73976309
130	8.145994499	10.71489505
131	8.139630122	10.70526528
132	8.136771375	10.70085075
133	8.132223768	10.69426359
134	8.131741775	10.69349379
135	8.127822288	10.68902185
136	8.113538135	10.67112838
137	8.111241355	10.66790425
138	8.091453936	10.64313017
139	8.077848988	10.62917479
140	8.072678503	10.6206058
141	8.062082266	10.6073782
142	8.056543703	10.59826132
143	8.039106584	10.57655427
144	8.025498294	10.55744665
145	8.01967433	10.55076222
146	8.01546459	10.54387564
147	8.015025119	10.54305063
148	8.007691198	10.53390611
149	7.993719095	10.51344351
150	7.985248028	10.50302686
151	7.980125235	10.49534144
152	7.97447975	10.48794016
153	7.969273907	10.48071101
154	7.962238948	10.47052061
155	7.958159786	10.46437707
156	7.953759137	10.45848567
157	7.949621031	10.45154382
158	7.941182488	10.44028499
159	7.924060278	10.4174986
160	7.917965264	10.40837212
161	7.912761553	10.40180026
162	7.899711415	10.38540796
163	7.892771672	10.37493759
164	7.889784564	10.37031479
165	7.885231215	10.36456223
166	7.8839992	10.36271975
167	7.878496875	10.3547583
168	7.874618959	10.35015936
169	7.868102187	10.34345008
170	7.862668498	10.33727159
171	7.858264808	10.33278512
172	7.854070611	10.32735573
173	7.847268774	10.31809421
174	7.843001945	10.3117019
175	7.833256599	10.3002109
176	7.828503008	10.29371634
177	7.822929503	10.28747665
178	7.817438851	10.28019592
179	7.813548992	10.27552521
180	7.806232147	10.26535509
181	7.80440174	10.26355206
182	7.799211002	10.25637485
183	7.796646473	10.25236778
184	7.786779837	10.23927578
185	7.782964311	10.23452501
186	7.774029831	10.22223809
187	7.770821941	10.21873006
188	7.766527103	10.21198815
189	7.757559496	10.20238232
190	7.755247712	10.19912839
191	7.749444232	10.192044
192	7.747970234	10.19014915
193	7.741158419	10.18103314
194	7.740823349	10.18039108
195	7.739776845	10.17779955
196	7.736334353	10.17367623
197	7.733322919	10.16941543
198	7.727832242	10.15911409
199	7.72430479	10.15431429
