iter	Passed	Remaining
0	8	1658
1	15	1576
2	21	1407
3	27	1368
4	32	1273
5	36	1193
6	41	1139
7	44	1074
8	47	1016
9	50	966
10	53	926
11	56	891
12	59	858
13	62	830
14	65	805
15	68	783
16	70	763
17	73	746
18	76	729
19	79	714
20	82	704
21	86	699
22	89	690
23	93	684
24	97	679
25	100	669
26	102	658
27	106	654
28	110	650
29	113	643
30	116	635
31	120	630
32	124	627
33	126	619
34	130	612
35	133	606
36	136	599
37	139	595
38	142	590
39	146	585
40	149	580
41	153	577
42	157	575
43	160	570
44	163	563
45	166	556
46	169	550
47	173	548
48	176	543
49	179	537
50	182	532
51	185	527
52	188	521
53	191	516
54	193	510
55	196	505
56	199	499
57	201	494
58	204	488
59	212	496
60	216	494
61	220	491
62	224	488
63	227	483
64	230	478
65	232	472
66	235	467
67	239	464
68	242	459
69	244	454
70	247	449
71	250	445
72	253	440
73	255	435
74	258	430
75	261	426
76	264	421
77	266	417
78	269	413
79	272	409
80	275	404
81	278	400
82	281	397
83	285	393
84	288	390
85	291	387
86	295	383
87	298	379
88	302	376
89	305	373
90	308	369
91	311	365
92	314	361
93	316	357
94	320	354
95	323	350
96	326	346
97	329	342
98	331	338
99	334	334
100	337	330
101	339	326
102	342	322
103	345	318
104	349	316
105	352	313
106	356	309
107	359	306
108	363	303
109	366	300
110	370	297
111	373	293
112	376	289
113	379	286
114	382	282
115	385	279
116	388	275
117	391	271
118	394	268
119	396	264
120	399	260
121	402	257
122	405	253
123	407	250
124	410	246
125	414	243
126	417	240
127	421	236
128	424	233
129	428	230
130	431	227
131	435	224
132	438	220
133	441	217
134	443	213
135	446	210
136	450	207
137	453	203
138	456	200
139	458	196
140	461	193
141	464	189
142	467	186
143	470	182
144	473	179
145	476	176
146	479	172
147	481	169
148	484	165
149	487	162
150	490	159
151	493	155
152	495	152
153	498	148
154	501	145
155	504	142
156	507	139
157	510	135
158	513	132
159	516	129
160	519	125
161	521	122
162	524	119
163	527	115
164	530	112
165	532	109
166	536	106
167	539	102
168	543	99
169	548	96
170	552	93
171	555	90
172	558	87
173	561	83
174	565	80
175	568	77
176	570	74
177	573	70
178	576	67
179	579	64
180	583	61
181	587	58
182	591	54
183	593	51
184	596	48
185	600	45
186	603	41
187	607	38
188	611	35
189	615	32
190	618	29
191	621	25
192	624	22
193	627	19
194	631	16
195	633	12
196	636	9
197	639	6
198	641	3
199	644	0
